,2017
강릉시,0.0
고성군(강원),0.0
동해시,0.0
삼척시,0.0
속초시,0.0
양구군,0.0
양양군,0.0
영월군,0.0
원주시,0.0
인제군,0.0
정선군,0.0
철원군,0.0
춘천시,0.0
태백시,0.0
평창군,0.0
홍천군,0.0
화천군,0.0
횡성군,0.0
가평군,0.0
고양시,0.0
과천시,0.0
광명시,0.0
광주시,0.0
구리시,0.0
군포시,0.0
김포시,0.0
남양주시,0.0
동두천시,0.0
부천시,0.0
성남시,0.0
수원시,0.0
시흥시,0.0
안산시,0.0
안성시,0.0
안양시,0.0
양주시,0.0
양평군,0.0
여주시,0.0
연천군,0.0
오산시,0.0
용인시,0.0
의왕시,0.0
의정부시,0.0
이천시,0.0
파주시,0.0
평택시,0.0
포천시,0.0
하남시,0.0
화성시,0.0
거제시,0.0
거창군,0.0
고성군(경남),0.0
김해시,0.0
남해군,0.0
밀양시,0.0
사천시,0.0
산청군,0.0
양산시,0.0
의령군,0.0
진주시,0.0
창녕군,0.0
창원시,0.0
통영시,0.0
하동군,24930.585
함안군,0.0
함양군,0.0
합천군,0.0
경산시,0.0
경주시,0.0
고령군,0.0
구미시,0.0
군위군,0.0
김천시,0.0
문경시,0.0
봉화군,0.0
상주시,12137.374
성주군,0.0
안동시,0.0
영덕군,0.0
영양군,0.0
영주시,0.0
영천시,0.0
예천군,0.0
울릉군,0.0
울진군,0.0
의성군,0.0
청도군,0.0
청송군,0.0
칠곡군,0.0
포항시,0.0
광주광역시,52591.786
대구광역시,0.0
대전광역시,7552.356
부산광역시,0.0
서울특별시,0.0
세종특별자치시,39015.678
울산광역시,0.0
인천광역시,0.0
강진군,47533.13
고흥군,60235.0
곡성군,44262.006
광양시,8138.104
구례군,18661.06
나주시,93508.697
담양군,37270.281
목포시,1126.449
무안군,20784.312
보성군,38782.5
순천시,33717.386
신안군,37694.099
여수시,18050.324
영광군,78670.409
영암군,136114.448
완도군,15163.19
장성군,33922.296
장흥군,49526.057
진도군,44990.352
함평군,71054.903
해남군,96210.405
화순군,28915.055
고창군,60489.411
군산시,206846.855
김제시,98449.63
남원시,39733.955
무주군,19932.598
부안군,168160.062
순창군,51241.412
완주군,40562.024
익산시,246939.552
임실군,19679.278
장수군,31843.114
전주시,18302.418
정읍시,77049.94
진안군,22483.787
서귀포시,0.0
제주시,0.0
계룡시,0.0
공주시,45631.059
금산군,15344.485999999999
논산시,193483.508
당진시,187156.402
보령시,73438.454
부여군,55945.507
서산시,157162.408
서천군,68927.66100000001
아산시,44250.831
예산군,161059.823
천안시,29323.555
청양군,71510.366
태안군,21741.172
홍성군,24930.695
괴산군,0.0
단양군,0.0
보은군,27988.158
영동군,17526.845
옥천군,25377.091
음성군,15784.961
제천시,0.0
증평군,12895.971
진천군,18991.449
청주시,37493.04
충주시,0.0
