,2017
강릉시,0.0
고성군(강원),0.0
동해시,0.0
삼척시,0.0
속초시,0.0
양구군,0.0
양양군,0.0
영월군,0.0
원주시,0.0
인제군,0.0
정선군,0.0
철원군,0.0
춘천시,0.0
태백시,0.0
평창군,0.0
홍천군,0.0
화천군,0.0
횡성군,0.0
가평군,0.0
고양시,0.0
과천시,0.0
광명시,0.0
광주시,0.0
구리시,0.0
군포시,0.0
김포시,0.0
남양주시,0.0
동두천시,0.0
부천시,0.0
성남시,0.0
수원시,0.0
시흥시,0.0
안산시,0.0
안성시,0.0
안양시,0.0
양주시,0.0
양평군,0.0
여주시,0.0
연천군,0.0
오산시,0.0
용인시,0.0
의왕시,0.0
의정부시,0.0
이천시,0.0
파주시,0.0
평택시,0.0
포천시,0.0
하남시,0.0
화성시,0.0
거제시,0.0
거창군,0.0
고성군(경남),0.0
김해시,0.0
남해군,0.0
밀양시,0.0
사천시,0.0
산청군,0.0
양산시,0.0
의령군,0.0
진주시,0.0
창녕군,0.0
창원시,0.0
통영시,0.0
하동군,0.0
함안군,0.0
함양군,0.0
합천군,0.0
경산시,0.0
경주시,0.0
고령군,0.0
구미시,0.0
군위군,0.0
김천시,0.0
문경시,0.0
봉화군,0.0
상주시,0.0
성주군,0.0
안동시,0.0
영덕군,0.0
영양군,0.0
영주시,0.0
영천시,0.0
예천군,0.0
울릉군,0.0
울진군,0.0
의성군,0.0
청도군,0.0
청송군,0.0
칠곡군,0.0
포항시,0.0
광주광역시,0.0
대구광역시,0.0
대전광역시,0.0
부산광역시,0.0
서울특별시,0.0
세종특별자치시,0.0
울산광역시,0.0
인천광역시,0.0
강진군,0.0
고흥군,0.0
곡성군,0.0
광양시,0.0
구례군,0.0
나주시,0.0
담양군,0.0
목포시,0.0
무안군,0.0
보성군,945.693
순천시,0.0
신안군,0.0
여수시,0.0
영광군,0.0
영암군,0.0
완도군,0.0
장성군,0.0
장흥군,0.0
진도군,1627.393
함평군,0.0
해남군,0.0
화순군,0.0
고창군,0.0
군산시,0.0
김제시,0.0
남원시,0.0
무주군,0.0
부안군,0.0
순창군,0.0
완주군,0.0
익산시,0.0
임실군,0.0
장수군,0.0
전주시,0.0
정읍시,0.0
진안군,0.0
서귀포시,0.0
제주시,0.0
계룡시,0.0
공주시,0.0
금산군,0.0
논산시,5938.034
당진시,0.0
보령시,0.0
부여군,0.0
서산시,6102.892
서천군,0.0
아산시,0.0
예산군,0.0
천안시,107.33200000000001
청양군,0.0
태안군,0.0
홍성군,0.0
괴산군,0.0
단양군,0.0
보은군,0.0
영동군,0.0
옥천군,0.0
음성군,0.0
제천시,0.0
증평군,0.0
진천군,0.0
청주시,0.0
충주시,0.0
