,2017
100101,0.0
100102,0.0
100103,0.0
100104,0.0
100105,0.0
100106,0.0
100107,0.0
100108,0.0
100109,0.0
100110,0.0
100111,0.0
100112,0.0
100113,0.0
100114,0.0
100115,0.0
100116,0.0
100117,0.0
100201,0.0
100202,0.0
100203,0.0
100204,0.0
100205,0.0
100206,0.0
100207,0.0
100208,0.0
100209,0.0
100210,0.0
100211,0.0
100212,0.0
100213,0.0
100301,0.0
100302,0.0
100303,0.0
100304,0.0
100305,0.0
100306,0.0
100307,0.0
100308,0.0
100309,0.0
100310,0.0
100311,0.0
100312,0.0
100313,0.0
100314,0.0
100315,0.0
100316,0.0
100317,0.0
100318,0.0
100319,0.0
100320,0.0
100401,0.0
100402,0.0
100403,0.0
100404,0.0
100405,0.0
100406,0.0
100407,0.0
100408,0.0
100409,0.0
100410,0.0
100411,0.0
100412,0.0
100413,0.0
100414,0.0
100501,0.0
100502,0.0
100503,0.0
100504,0.0
100505,0.0
100601,0.0
100602,0.0
100603,0.0
100604,0.0
100605,0.0
100606,0.0
100607,0.0
100608,0.0
100609,0.0
100610,0.0
100701,0.0
100702,0.0
100703,0.0
100704,0.0
100705,0.0
100706,0.0
100707,0.0
100708,0.0
100709,0.0
100710,0.0
100711,0.0
100712,0.0
100713,0.0
100714,0.0
100715,0.0
100716,0.0
100717,0.0
100718,0.0
100719,0.0
100801,0.0
100802,0.0
100803,0.0
100804,0.0
100805,0.0
100806,0.0
100807,0.0
100808,0.0
100809,0.0
100810,0.0
100811,0.0
100812,0.0
100813,0.0
100901,0.0
100902,0.0
100903,0.0
100904,0.0
101001,0.0
101002,0.0
101003,0.0
101004,0.0
101005,0.0
101006,0.0
101007,0.0
101008,0.0
101009,0.0
101010,0.0
101011,0.0
101012,0.0
101101,0.0
101102,0.0
101103,0.0
101104,0.0
101201,0.0
101202,0.0
101203,0.0
101204,0.0
101205,0.0
101206,0.0
101207,0.0
101208,0.0
101301,0.0
101302,0.0
101303,0.0
101304,0.0
101305,0.0
101306,0.0
101307,0.0
101401,0.0
101402,0.0
101403,0.0
101404,0.0
101405,0.0
101406,0.0
101407,0.0
101408,0.0
101409,0.0
101410,0.0
101411,0.0
101412,0.0
101413,0.0
101414,0.0
101501,0.0
101502,0.0
101503,0.0
101504,0.0
101505,0.0
101506,0.0
101507,0.0
101508,0.0
101601,0.0
101602,0.0
101603,0.0
101604,0.0
101605,0.0
101701,0.0
101801,0.0
101802,0.0
101803,0.0
101804,0.0
101805,0.0
101806,0.0
101807,0.0
101808,0.0
101809,0.0
101810,0.0
101811,0.0
101812,0.0
101813,0.0
101814,0.0
101815,0.0
101816,0.0
101901,0.0
101902,0.0
101903,0.0
101904,0.0
101905,0.0
101906,0.0
101907,0.0
101908,0.0
102001,0.0
102002,0.0
102003,0.0
102004,0.0
102005,0.0
102101,0.0
102102,0.0
102103,0.0
102104,0.0
102105,0.0
102106,0.0
102107,0.0
102108,0.0
102109,0.0
102201,0.0
102202,0.0
102203,0.0
102204,0.0
102205,0.0
102206,0.0
102207,0.0
102208,0.0
102209,0.0
102210,0.0
102211,0.0
102212,0.0
102213,0.0
102214,0.0
102215,0.0
102301,0.0
102302,0.0
102303,0.0
102304,0.0
102305,0.0
102306,0.0
102307,0.0
102308,0.0
102309,0.0
102401,0.0
110101,0.0
110102,0.0
110103,0.0
110104,0.0
110105,0.0
110106,0.0
110107,0.0
110108,0.0
110109,0.0
110110,0.0
110111,0.0
110112,0.0
110113,0.0
110114,0.0
110115,0.0
110116,0.0
110117,0.0
110118,0.0
120101,0.0
120102,0.0
120103,0.0
120104,0.0
120105,0.0
120106,0.0
120107,0.0
120108,0.0
120201,0.0
120202,0.0
120203,0.0
120204,0.0
120205,0.0
120206,0.0
130101,0.0
130102,0.0
130103,0.0
130104,0.0
130105,0.0
130106,0.0
130107,0.0
130108,0.0
130109,0.0
130201,0.0
130202,0.0
130203,0.0
130204,0.0
130205,0.0
130206,0.0
130207,0.0
130301,0.0
130302,0.0
130303,0.0
130304,0.0
130305,0.0
200101,0.0
200102,0.0
200103,0.0
200104,0.0
200105,0.0
200106,0.0
200107,0.0
200108,0.0
200109,0.0
200110,0.0
200111,0.0
200112,0.0
200201,0.0
200202,0.0
200203,0.0
200204,0.0
200205,0.0
200206,0.0
200207,0.0
200208,0.0
200209,0.0
200210,0.0
200211,0.0
200212,0.0
200213,0.0
200214,0.0
200215,0.0
200216,0.0
200301,0.0
200302,0.0
200303,0.0
200304,0.0
200305,0.0
200306,0.0
