,2017
가평군,0.0
강릉시,0.0
강진군,6368.599910823335
거제시,0.0
거창군,0.0
경산시,0.0
경주시,0.0
계룡시,6483.3521674129925
고령군,0.0
고성군(강원),0.0
고성군(경남),0.0
고양시,0.0
고창군,13746.278772391968
고흥군,1331.1360000000002
곡성군,7293.471364475808
공주시,15580.148123303137
과천시,0.0
광명시,0.0
광양시,25.56
광주광역시,180908.8356088901
광주시,0.0
괴산군,0.0
구례군,2906.64
구리시,0.0
구미시,0.0
군산시,121254.70319232106
군위군,0.0
군포시,0.0
금산군,9611.006554352665
김제시,15494.15278446674
김천시,0.0
김포시,0.0
김해시,0.0
나주시,24144.86586284129
남양주시,0.0
남원시,10132.637614475618
남해군,0.0
논산시,20492.54106943457
단양군,0.0
담양군,6175.104289687729
당진시,34829.31795010186
대구광역시,0.0
대전광역시,203572.39654697385
동두천시,0.0
동해시,0.0
목포시,28474.61295323714
무안군,11530.748635204824
무주군,4382.69034193488
문경시,0.0
밀양시,0.0
보령시,17195.312490263103
보성군,2723.328
보은군,29578.248000000003
봉화군,0.0
부산광역시,0.0
부안군,11460.56122760803
부여군,11797.668092735783
부천시,0.0
사천시,0.0
산청군,0.0
삼척시,0.0
상주시,1319.04
서귀포시,0.0
서산시,112973.7181622956
서울특별시,0.0
서천군,18491.054479028273
성남시,0.0
성주군,0.0
세종특별자치시,82276.6457827859
속초시,0.0
수원시,0.0
순창군,3515.490528770656
순천시,22074.583000000002
시흥시,0.0
신안군,3395.25876336228
아산시,148477.59893451448
안동시,0.0
안산시,0.0
안성시,0.0
안양시,0.0
양구군,0.0
양산시,0.0
양양군,0.0
양주시,0.0
양평군,0.0
여수시,2444.256
여주시,0.0
연천군,0.0
영광군,9121.253004612863
영덕군,0.0
영동군,9502.581658065119
영암군,16962.446456527825
영양군,0.0
영월군,0.0
영주시,0.0
영천시,0.0
예산군,23470.366011222224
예천군,0.0
오산시,0.0
옥천군,9568.800000000001
완도군,6806.3906201832715
완주군,33232.00467757421
용인시,0.0
울릉군,0.0
울산광역시,0.0
울진군,0.0
원주시,0.0
음성군,0.0
의령군,0.0
의성군,0.0
의왕시,0.0
의정부시,0.0
이천시,0.0
익산시,50758.52234782104
인제군,0.0
인천광역시,0.0
임실군,5433.660831930048
장성군,8890.220243961936
장수군,3106.1276736946556
장흥군,7960.73985304632
전주시,105293.16491832858
정선군,0.0
정읍시,23714.064000000002
제주시,0.0
제천시,0.0
증평군,201.168
진도군,5120.954715633144
진안군,3100.8959999999997
진주시,0.0
진천군,1012.7520000000001
창녕군,0.0
창원시,0.0
천안시,127606.64552080091
철원군,0.0
청도군,0.0
청송군,0.0
청양군,5336.275219510849
청주시,281473.060743963
춘천시,0.0
충주시,0.0
칠곡군,0.0
태백시,0.0
태안군,18229.304885392736
통영시,0.0
파주시,0.0
평창군,0.0
평택시,0.0
포천시,0.0
포항시,0.0
하남시,0.0
하동군,982.5840000000001
함안군,0.0
함양군,0.0
함평군,9020.758477128624
합천군,0.0
해남군,12119.683642617601
홍성군,10188.846865725009
홍천군,0.0
화성시,0.0
화순군,9137.450102807521
화천군,0.0
횡성군,0.0
